"country","iso2c","iso3c","year","IT.NET.SECR"
"Uganda","UG","UGA",2023,2512
"Uganda","UG","UGA",2022,2075
"Uganda","UG","UGA",2021,1580
"Uganda","UG","UGA",2020,1573
"Uganda","UG","UGA",2019,973
"Uganda","UG","UGA",2018,864
"Uganda","UG","UGA",2017,840
"Uganda","UG","UGA",2016,156
"Uganda","UG","UGA",2015,114
"Uganda","UG","UGA",2014,81
"Uganda","UG","UGA",2013,66
"Uganda","UG","UGA",2012,58
"Uganda","UG","UGA",2011,22
"Uganda","UG","UGA",2010,9
"Uganda","UG","UGA",2009,NA
"Uganda","UG","UGA",2008,NA
"Uganda","UG","UGA",2007,NA
"Uganda","UG","UGA",2006,NA
"Uganda","UG","UGA",2005,NA
"Uganda","UG","UGA",2004,NA
"Uganda","UG","UGA",2003,NA
"Uganda","UG","UGA",2002,NA
"Uganda","UG","UGA",2001,NA
"Uganda","UG","UGA",2000,NA
