"country","iso2c","iso3c","year","BX.GSR.CCIS.CD"
"Uganda","UG","UGA",2023,55430000
"Uganda","UG","UGA",2022,40090000
"Uganda","UG","UGA",2021,41510000
"Uganda","UG","UGA",2020,14760000
"Uganda","UG","UGA",2019,27770000
"Uganda","UG","UGA",2018,52393800
"Uganda","UG","UGA",2017,39113038.0055824
"Uganda","UG","UGA",2016,39940587.1595984
"Uganda","UG","UGA",2015,65358607.7119673
"Uganda","UG","UGA",2014,56876298.7902001
"Uganda","UG","UGA",2013,102120948.772716
"Uganda","UG","UGA",2012,74295050.7976276
"Uganda","UG","UGA",2011,74570470.6423125
"Uganda","UG","UGA",2010,56876903.7617259
"Uganda","UG","UGA",2009,55713267.03044
"Uganda","UG","UGA",2008,53186876.3913925
"Uganda","UG","UGA",2007,33764486.3820797
"Uganda","UG","UGA",2006,53161420.5534722
"Uganda","UG","UGA",2005,49495183.7332328
"Uganda","UG","UGA",2004,24717128.9547792
"Uganda","UG","UGA",2003,15056436.6304673
"Uganda","UG","UGA",2002,7763536.24
"Uganda","UG","UGA",2001,11170000
"Uganda","UG","UGA",2000,6900000
